id_rna;nom_association;objet;code_objet_1;code_objet_2;date_creation;date_publication;code_postal;commune;statut
353P0353012534;ASSOCIATION MOUVEMENT ET PAROLE;Toutes activites contribuant a la promotion du the~ID~tre chore- graphique de rennes et de bretagne;006070;000000;;;35000;RENNES;A
353P0353012535;ASSOCIATION POUR LA DEFENSE DES CREANCIERS FOURNISSEURS  AUX ETS GUERIN;Regroupement et representation des creanciers fournisseurs de bovins vivants aux ets guerin tremorel en vue d'assurer la de- fense de leurs interets face au depot de bilan de cette socie te recouvrement au maximum de leurs creances coordination et;014000;023000;;;35000;RENNES;A
353P0353012539;SCENIMAGE;Promouvoir la creation audiovisuelle;005015;000000;;;35000;RENNES;A
353P0353012540;ASSOCIATION RELATION FORMATION (A.R.F.);Promouvoir par toute forme de communication presente ou a venir la formation, l'enseignement et l'emploi;005015;000000;;;35000;RENNES;A
353P0353012541;ASSOCIATION POUR LA QUALITE DE VIE DU SECTEUR DE LA  BOULAIS;Preservation de la qualite de l'environnement du secteur de la boulais, beausoleil, la hublais;024000;000000;;;35510;CESSON-SEVIGNE;A
353P0353012542;PAM AIR;Promotion d'activites multiples aeriennes, prestations et ser- vices aeriens;011135;000000;;;35000;RENNES;A
353P0353012544;TELEVISION INSTITUT DE GESTION DE RENNES (TIGR);Production et realisation de programmes audiovisuels pour tous supports (video, informatique, etc...);015075;005015;;;35000;RENNES;A
353P0353012547;MAISON DES PETITES EDITIONS;Diffuser les livres des petites editions n'ayant pas facile- ment acces aux grands reseaux;014000;006005;;;35190;BECHEREL;A
353P0353012550;AMICALE DES PERSONNELS DU LYCEE ILE-DE-FRANCE;Permettre aux membres du personnel sans distinction de grade ou de fonction de se mieux connaitre de s'entraider de sympa- thiser de telle sorte que des liens amicaux se creent, se res serrent et favorisent une ambiance agreable et saine;023000;014030;;;35000;RENNES;R
353P0353012552;EXBURIA;Entretenir un contact entre les personnes ayant suivi un stage au buria;038000;000000;;;35000;RENNES;A
353P0353012553;CLUB FRANCAIS DES AMATEURS DE BOUVIERS SUISSES (C.F.A.B;Ameliorer la race des bouviers suisses en france et en encoura ger l'elevage;023020;007045;;;35230;SAINT-ARMEL;A
353P0353012557;INITIATIVES POUR LA BRETAGNE;Defense et promotion de la bretagne, reflexion sur le develop- pement economique, social et culturel de la region, promotion de l'excellence bretonne dans tous les domaines, developpement du tissu economique breton;014000;022000;;;35000;RENNES;A
353P0353012559;L'ACCROCHE POISSON;Developper la pratique de la chasse sous-marine et favoriser des rencontres entre plongeurs;011095;013010;;;35000;RENNES;A
353P0353012560;AMITIES FRANCO-ROUMAINES RENNES-PLOIESTI;Susciter et organiser des rencontres des echanges culturels et educatifs des relations sociales entre habitants et associa- tions de rennes et de ploiesti;009050;000000;;;35000;RENNES;A
353P0353012561;GROUPE COMMUNICATION INFORMATION (G.C.I.);Production conception et edition de lettres d'infomation sur tout support existant;005005;005015;;;35000;RENNES;A
353P0353012563;INSTITUT DE FORMATIONS ET PREPARATIONS AUX CONCOURS (I.;Mise a niveau aux differents concours d'entree et l'initiation par l'informatique a la gestion d'entreprise;015045;015000;;;35000;RENNES;A
353P0353012564;CLUB DES ASPIRANTS, LIEUTENANTS ET CAPITAINES DE L'ECOL  DE L'ELECTRONIQUE DE L'ARMEE DE TERRE (C.A.LI.C.E.);Etre un organe de cohesion entre les officiers subalternes et organiser des manifestations (sports, culture, voyages, loisir;038000;000000;;;35000;RENNES;A
353P0353012568;ESPACE L'EPINE;Animer et defendre le lotissement de l'epine;032520;030005;;;35310;CHAVAGNE;A
353P0353012569;ASSOCIATION SPORTS DETENTE;Insertion par l'incitation a la pratique sportive et par l'acquisition des valeurs humaines fondamentales a une vie sociale et professionnelle des individus;011000;000000;;;35000;RENNES;A
353P0353012570;ASSOCIATION RALLYE DE L'HOTEL-CHATEL;La chasse a courre du lapin et du lievre selon la tradition de la venerie francaise;013005;000000;;;35000;RENNES;A
353P0353012572;ASSOCIATION DISTANCIA;Promotion developpement et diffusion des etudes recherches et formations en statistique et en mathematiques utilisant comme approche privilegiee la notion de distance;006000;016000;;;35000;RENNES;A
353P0353012576;ASSOCIATION FRANCO TAMOULE (A.F.T.);Aide humanitaire culturel a caractere social;020000;000000;;;35000;RENNES;A
353P0353012577;ASSOCIATION ICARE;Insertion du travailleur handicape en milieu ordinaire;020000;018050;;;35000;RENNES;A
353P0353012578;ASSOCIATION HOM ORGANISATION;Mise a disposition de competences pluridisciplinaires de diffe rents specialistes qui concourent au fonctionnement des entre- prises et des institutions;022000;000000;;;35000;RENNES;A
353P0353012580;ASSOCIATION LIEUX, CIRCONSTANCES, RENCONTRES (L.C.R.);Clarifier et communiquer une attitude sculpturale et une oeu- vre interdisciplinaire gr~ID~ce a des lieux, des circonstances, des rencontres;006000;000000;;;35000;RENNES;A
353P0353012583;ASSOCIATION KICK CLUB SAINT-ERBLON;Encadrer, assister et organiser des epreuves de moto-cross aupres du club de la fee viviane de saint-erblon;011000;011160;;;35000;RENNES;A
353P0353012584;ASSOCIATION SPORTIVE DES MATERIAUX DE L'OUEST;Pratique du football;011075;000000;;;35590;HERMITAGE;A
353P0353012586;ASSOCIATION POUR LES USAGERS DE L'ACTION SOCIALE (P.L.U;Role d'accueil, d'information, d'accompagnement, de defense des usagers par rapport a leurs droits leur dignite leurs be- soins;020000;019010;;;35000;RENNES;A
353P0353012587;ASSOCIATION SOLEIL TROPIQUES;Culture rencontre sport;011000;006000;;;35000;RENNES;A
353P0353012588;CERCLE RENNAIS DES ETUDIANTS D'OUTRE-MER;Aider les etudiants de divers departements et territoires d'outre-mer a se connaitre pour des echanges culturels;015075;000000;;;35000;RENNES;A
353P0353012589;ASSOCIATION POUR LE DEVELOPPEMENT DE L'APPROCHE COGNITI;Aider au developpement de l'approche cognitive et a la quanti- fication de la semiologie cognitive dans les pathologies neuro logiques et psychiatriques en soutenant intellectuellement et financierement les chercheurs membres de l'association;017000;017125;;;35000;RENNES;A
